coin,epoch,gamma,theta,curr_power,cumsum_realized,simple_fixed,baseline_fixed,baseline_fixed_walk,simple_moving,baseline_moving,simple_fixed_pct,baseline_fixed_pct,baseline_fixed_walk_pct,simple_moving_pct,baseline_moving_pct,date
FIL,9060001,0.748,3862334.8895392194,2.17864485938727e+19,5.176602598590763e+25,208073452.01114044,485504721.3593276,266326346.9521077,266326346.9521077,518796473.6811101,63.24800941632489,63.24800941632489,36.06051782673055,63.756398700649186,76.0391910545946,2029-05-01
FIL,9080001,0.748,3874143.32592187,2.1985497534054834e+19,5.220520027087688e+25,208341146.81402832,486129342.56606597,266979550.77881634,266979550.77881634,519463926.0563105,63.32938050547685,63.32938050547684,36.14896145428405,63.9127704756727,76.13701850958401,2029-05-01
FIL,9100001,0.748,3885945.499376808,2.203014773568044e+19,5.264601331503769e+25,208608253.88185212,486752592.3909882,267631561.70823187,267631561.70823187,520129913.0120845,63.410572941021115,63.4105729410211,36.23724356385558,64.0688566806191,76.23463118033068,2029-06-01
FIL,9120001,0.748,3897683.0502223433,2.2209786805402657e+19,5.308917716211894e+25,208874774.50500864,487374473.84502006,268279164.3578222,268279164.3578222,520794437.76582146,63.49158711519911,63.4915871151991,36.324928793489995,64.22388757861097,76.33202953840235,2029-06-01
FIL,9140001,0.748,3909448.9846520675,2.2479542768192455e+19,5.353775121095538e+25,209140709.97106147,487994989.93247664,268927495.177607,268927495.177607,521457503.52784646,63.572423419391065,63.572423419391065,36.41271261717858,64.37909279472709,76.42921405433137,2029-06-01
FIL,9160001,0.748,3921242.0815990847,2.2624457378768757e+19,5.398959093717547e+25,209406061.5647474,488614143.65107715,269576482.0314974,269576482.0314974,522119113.5014367,63.653082244117954,63.653082244117954,36.500585267713745,64.53445506016439,76.52618519761708,2029-06-01
FIL,9180001,0.748,3933035.8512739507,2.2991567392906363e+19,5.444719459549026e+25,209670830.5679824,489231937.99195886,270224665.26956946,270224665.26956946,522779270.88283604,63.73356397904328,63.73356397904328,36.58834910887696,64.6896249463981,76.62294343672798,2029-07-01
FIL,9200001,0.748,3944925.3495061756,2.320896926144423e+19,5.491057286397686e+25,209935018.2598681,489848375.9396921,270877259.9115332,270877259.9115332,523437978.86127096,63.81386901297509,63.813869012975076,36.676710252975084,64.8458508874629,76.71948923910399,2029-07-01
FIL,9220001,0.748,3956814.461948285,2.3361529346099884e+19,5.537691752075019e+25,210198625.91669765,490463460.47229445,271528981.27715963,271528981.27715963,524095240.61896604,63.89399773386775,63.89399773386775,36.76495315568519,65.00186777315272,76.81582307115887,2029-07-01
FIL,9240001,0.748,3968694.2705102926,2.358782404908472e+19,5.5847289756550564e+25,210461654.81196216,491077194.56124496,272179342.65903014,272179342.65903014,524751059.33115894,63.97395052882384,63.97395052882384,36.8530119169499,65.15755908960176,76.91194539828223,2029-07-01
FIL,9260001,0.748,3980572.8247249555,2.3593547104779825e+19,5.631908754639323e+25,210724106.2163567,491689581.1714989,272828786.97122777,272828786.97122777,525405438.16611594,64.05372778409611,64.05372778409611,36.9409465072204,65.31303086690133,77.0078566848419,2029-07-01
FIL,9280001,0.748,3992418.5631738068,2.383113283341714e+19,5.679559478967194e+25,210985981.3977865,492300623.2615017,273475593.3825902,273475593.3825902,526058380.28514755,64.13332988508921,64.13332988508921,37.028523926406685,65.46787115182579,77.10355739418627,2029-08-01
FIL,9300001,0.748,4004268.0990692866,2.412486679160589e+19,5.727653520502631e+25,211247281.62137294,492910323.7832034,274121765.2615131,274121765.2615131,526709888.84262305,64.21275721636161,64.21275721636161,37.116015430066376,65.6225595347561,77.1990479886463,2029-08-01
FIL,9320001,0.748,4016166.8301291927,2.4317662093535183e+19,5.776222363001516e+25,211508008.1494599,493518685.682073,274769773.6578866,274769773.6578866,527359966.9859866,64.29201016162754,64.29201016162753,37.203755597709275,65.77768756528471,77.294328929538,2029-08-01
FIL,9340001,0.748,4028038.244214826,2.4417666850631156e+19,5.8249670850163075e+25,211768162.2416197,494125711.89711255,275415450.46639913,275415450.46639913,528008617.8557717,64.37108910375869,64.37108910375869,37.29118006896468,65.9322574323159,77.38940067716449,2029-08-01
FIL,9360001,0.748,4039868.388624586,2.451203607201898e+19,5.873917346740309e+25,212027745.15465924,494731405.36087143,276058045.2056247,276058045.2056247,528655844.58561695,64.44999442478621,64.4499944247862,37.378187228843515,66.0860894765949,77.48426369081827,2029-09-01
FIL,9380001,0.748,4051686.0957981404,2.47906270324637e+19,5.9233824604441225e+25,212286758.14262596,495335768.9994605,276699130.79091597,276699130.79091597,529301650.30228066,64.52872650590241,64.52872650590241,37.46499004967375,66.23956024148478,77.57891842878344,2029-09-01
FIL,9400001,0.748,4063517.487392001,2.481648518820667e+19,5.9730372472286165e+25,212545202.45681402,495938805.73256594,277340125.2188409,277340125.2188409,529946038.1256562,64.60728572746272,64.60728572746271,37.55178052782039,66.3930091840298,77.67336534833792,2029-09-01
FIL,9420001,0.748,4075290.928082551,2.508231073202904e+19,6.023074752113195e+25,212803079.34577045,496540518.4734643,277977153.2160523,277977153.2160523,530589011.16878754,64.68567246898752,64.6856724689875,37.638033952284246,66.54550859476586,77.7676049057557,2029-09-01
FIL,9440001,0.748,4087084.1656536628,2.5300984758800302e+19,6.073537670126988e+25,213060390.0553008,497140910.1290351,278614426.58757347,278614426.58757347,531230572.5378832,64.76388710916385,64.76388710916383,37.724320600365566,66.6980667461504,77.86163755630896,2029-10-01
FIL,9460001,0.748,4098877.4257262875,2.5502020938919993e+19,6.12437528483605e+25,213317135.82847556,497739983.59977627,279250875.769212,279250875.769212,531870725.3323323,64.84193002584736,64.84193002584738,37.810495653352014,66.85042759306484,77.9554637542703,2029-10-01
FIL,9480001,0.754,4110678.924119941,2.5557729855107224e+19,6.175498661202431e+25,213573317.90563598,498337741.7798172,279886944.34869903,279886944.34869903,536780939.0028317,64.91980159606415,64.91980159606415,37.89661917290654,67.00269732686635,78.67514612366027,2029-10-01
FIL,9500001,0.754,4122413.641556185,2.570782235281948e+19,6.226823005675621e+25,213828937.5244002,498934187.5569337,280518596.17951477,280518596.17951477,537423396.3113257,64.99750219601255,64.99750219601253,37.982144665844395,67.15390972633926,78.76931009065558,2029-10-01
FIL,9520001,0.754,4134130.0097050746,2.5762497601518055e+19,6.278368487221002e+25,214083995.91966876,499529323.8125604,281148448.154541,281148448.154541,538064443.0781008,65.07503220106477,65.07503220106476,38.067426458778385,67.3046912547225,78.86326731674828,2029-10-01
FIL,9540001,0.754,4145795.457558168,2.6044872996310938e+19,6.33031462041438e+25,214338494.32363138,500123153.42180645,281774757.5385446,281774757.5385446,538704082.40006,65.1523919857691,65.15239198576909,38.15222858581305,67.45462471513103,78.95701825584656,2029-11-01
FIL,9560001,0.754,4157506.2793660657,2.6279213866153284e+19,6.38281493713777e+25,214592433.96577212,500715679.2534682,282402695.9123879,282402695.9123879,539342317.3673072,65.22958192385133,65.22958192385133,38.2372512776466,67.60494814268658,79.05056336086218,2029-11-01
FIL,9580001,0.754,4169222.0358518087,2.6566048018542666e+19,6.435795185424859e+25,214845816.07287586,501306904.1700436,283030090.74242777,283030090.74242777,539979151.0631613,65.30660238821679,65.30660238821679,38.32220037379111,67.75514145020017,79.14390308371237,2029-11-01
FIL,9600001,0.754,4180953.5955181904,2.6706290991386857e+19,6.4891093926117914e+25,215098641.86903393,501896831.0277457,283657522.94755054,283657522.94755054,540614586.5641718,65.3834537509521,65.3834537509521,38.40715453051208,67.90534370500986,79.23703787532222,2029-11-01
