coin,block,total_supply,total_supply_pct,date
FIL,3640321,20999866.608047485,99.9993648151272,2090-01-01
FIL,3692881,20999886.658096313,99.99946029155019,2091-01-01
FIL,3745441,20999906.70814514,99.9995557679732,2092-01-01
FIL,3798145,20999923.352241516,99.99963502557499,2093-01-01
FIL,3850705,20999933.37726593,99.9996827637865,2094-01-01
FIL,3903265,20999943.402290344,99.999730501998,2095-01-01
FIL,3955825,20999953.42731476,99.99977824020951,2096-01-01
FIL,4008529,20999961.71274185,99.99981769462424,2097-01-01
FIL,4061089,20999966.72525406,99.99984156372999,2098-01-01
FIL,4113649,20999971.737766266,99.99986543283575,2099-01-01
FIL,4166209,20999976.750278473,99.9998893019415,2100-01-01
FIL,4218769,20999980.867815018,99.99990890925837,2101-01-01
FIL,4271329,20999983.37407112,99.99992084381125,2102-01-01
FIL,4323889,20999985.880327225,99.99993277836413,2103-01-01
FIL,4376449,20999988.38658333,99.999944712917,2104-01-01
FIL,4429153,20999990.443062782,99.9999545056763,2105-01-01
FIL,4481713,20999991.696190834,99.99996047295274,2106-01-01
FIL,4534273,20999992.949318886,99.99996644022919,2107-01-01
FIL,4586833,20999994.202446938,99.99997240750562,2108-01-01
FIL,4639537,20999995.226109028,99.999977282087,2109-01-01
FIL,4692097,20999995.852673054,99.99998026572521,2110-01-01
FIL,4744657,20999996.47923708,99.99998324936344,2111-01-01
FIL,4797217,20999997.105801105,99.99998623300166,2112-01-01
FIL,4849921,20999997.615343332,99.99998865939321,2113-01-01
FIL,4902481,20999997.928625345,99.99999015121233,2114-01-01
FIL,4955041,20999998.24190736,99.99999164303144,2115-01-01
FIL,5007601,20999998.55518937,99.99999313485056,2116-01-01
FIL,5060305,20999998.808816075,99.99999434259675,2117-01-01
FIL,5112865,20999998.96545708,99.99999508850631,2118-01-01
FIL,5165425,20999999.12209809,99.99999583441587,2119-01-01
FIL,5217985,20999999.278739095,99.99999658032543,2120-01-01
FIL,5270689,20999999.404980242,99.99999718147374,2121-01-01
FIL,5323249,20999999.483300745,99.99999755442852,2122-01-01
FIL,5375809,20999999.56162125,99.9999979273833,2123-01-01
FIL,5428369,20999999.639941752,99.99999830033808,2124-01-01
FIL,5481073,20999999.702776223,99.99999859954984,2125-01-01
FIL,5533633,20999999.741936475,99.99999878602723,2126-01-01
FIL,5586193,20999999.781096727,99.99999897250463,2127-01-01
FIL,5638753,20999999.82025698,99.999999158982,2128-01-01
FIL,5691457,20999999.851531163,99.99999930790669,2129-01-01
FIL,5744017,20999999.87111129,99.99999940114539,2130-01-01
FIL,5796577,20999999.890691414,99.99999949438408,2131-01-01
FIL,5849137,20999999.91027154,99.99999958762278,2132-01-01
FIL,5901841,20999999.925837107,99.99999966174454,2133-01-01
FIL,5954401,20999999.93562717,99.99999970836387,2134-01-01
