coin,block,total_supply,total_supply_pct,date
FIL,804529,19465806.25,92.694315490003,2036-02-01
FIL,808705,19491906.25,92.81860120430724,2036-03-01
FIL,813169,19519806.25,92.95145834718419,2036-04-01
FIL,817489,19546806.25,93.08002977577476,2036-05-01
FIL,821953,19574706.25,93.2128869186517,2036-06-01
FIL,826273,19601706.25,93.3414583472423,2036-07-01
FIL,830737,19629606.25,93.47431549011922,2036-08-01
FIL,835201,19657506.25,93.60717263299617,2036-09-01
FIL,839521,19684506.25,93.73574406158676,2036-10-01
FIL,843985,19699953.125,93.80930060921678,2036-11-01
FIL,848305,19713453.125,93.87358632351206,2036-12-01
FIL,852769,19727403.125,93.94001489495054,2037-01-01
FIL,857233,19741353.125,94.006443466389,2037-02-01
FIL,861265,19753953.125,94.06644346639794,2037-03-01
FIL,865729,19767903.125,94.1328720378364,2037-04-01
FIL,870049,19781403.125,94.19715775213172,2037-05-01
FIL,874513,19795353.125,94.26358632357018,2037-06-01
FIL,878833,19808853.125,94.32787203786546,2037-07-01
FIL,883297,19822803.125,94.39430060930394,2037-08-01
FIL,887761,19836753.125,94.4607291807424,2037-09-01
FIL,892081,19850253.125,94.52501489503771,2037-10-01
FIL,896545,19864203.125,94.59144346647618,2037-11-01
FIL,900865,19877703.125,94.65572918077146,2037-12-01
FIL,905329,19891653.125,94.72215775220994,2038-01-01
FIL,909793,19905603.125,94.7885863236484,2038-02-01
FIL,913825,19918203.125,94.84858632365734,2038-03-01
FIL,918289,19932153.125,94.91501489509582,2038-04-01
FIL,922609,19945653.125,94.97930060939112,2038-05-01
FIL,927073,19959603.125,95.04572918082958,2038-06-01
FIL,931393,19973103.125,95.11001489512488,2038-07-01
FIL,935857,19987053.125,95.17644346656334,2038-08-01
FIL,940321,20001003.125,95.24287203800182,2038-09-01
FIL,944641,20014503.125,95.30715775229712,2038-10-01
FIL,949105,20028453.125,95.37358632373558,2038-11-01
FIL,953425,20041953.125,95.43787203803087,2038-12-01
FIL,957889,20055903.125,95.50430060946935,2039-01-01
FIL,962353,20069853.125,95.5707291809078,2039-02-01
FIL,966385,20082453.125,95.63072918091675,2039-03-01
FIL,970849,20096403.125,95.69715775235522,2039-04-01
FIL,975169,20109903.125,95.76144346665052,2039-05-01
FIL,979633,20123853.125,95.82787203808898,2039-06-01
FIL,983953,20137353.125,95.89215775238429,2039-07-01
FIL,988417,20151303.125,95.95858632382274,2039-08-01
FIL,992881,20165253.125,96.02501489526122,2039-09-01
FIL,997201,20178753.125,96.08930060955652,2039-10-01
FIL,1001665,20192703.125,96.15572918099498,2039-11-01
FIL,1005985,20206203.125,96.22001489529029,2039-12-01
FIL,1010449,20220153.125,96.28644346672876,2040-01-01
FIL,1014913,20234103.125,96.35287203816722,2040-02-01
FIL,1019089,20247153.125,96.41501489531935,2040-03-01
FIL,1023553,20261103.125,96.48144346675781,2040-04-01
FIL,1027873,20274603.125,96.54572918105309,2040-05-01
FIL,1032337,20288553.125,96.61215775249157,2040-06-01
FIL,1036657,20302053.125,96.67644346678686,2040-07-01
FIL,1041121,20316003.125,96.74287203822533,2040-08-01
FIL,1045585,20329953.125,96.80930060966381,2040-09-01
FIL,1049905,20343453.125,96.87358632395909,2040-10-01
FIL,1054369,20350576.5625,96.90750745491653,2040-11-01
FIL,1058689,20357326.5625,96.93965031206419,2040-12-01
FIL,1063153,20364301.5625,96.97286459778341,2041-01-01
FIL,1067617,20371276.5625,97.00607888350265,2041-02-01
FIL,1071649,20377576.5625,97.03607888350713,2041-03-01
FIL,1076113,20384551.5625,97.06929316922636,2041-04-01
FIL,1080433,20391301.5625,97.101436026374,2041-05-01
FIL,1084897,20398276.5625,97.13465031209324,2041-06-01
FIL,1089217,20405026.5625,97.16679316924089,2041-07-01
FIL,1093681,20412001.5625,97.20000745496013,2041-08-01
FIL,1098145,20418976.5625,97.23322174067935,2041-09-01
FIL,1102465,20425726.5625,97.265364597827,2041-10-01
FIL,1106929,20432701.5625,97.29857888354624,2041-11-01
FIL,1111249,20439451.5625,97.33072174069389,2041-12-01
FIL,1115713,20446426.5625,97.36393602641313,2042-01-01
FIL,1120177,20453401.5625,97.39715031213235,2042-02-01
FIL,1124209,20459701.5625,97.42715031213682,2042-03-01
FIL,1128673,20466676.5625,97.46036459785607,2042-04-01
FIL,1132993,20473426.5625,97.4925074550037,2042-05-01
FIL,1137457,20480401.5625,97.52572174072294,2042-06-01
FIL,1141777,20487151.5625,97.55786459787059,2042-07-01
FIL,1146241,20494126.5625,97.59107888358982,2042-08-01
FIL,1150705,20501101.5625,97.62429316930906,2042-09-01
FIL,1155025,20507851.5625,97.6564360264567,2042-10-01
FIL,1159489,20514826.5625,97.68965031217593,2042-11-01
FIL,1163809,20521576.5625,97.72179316932359,2042-12-01
FIL,1168273,20528551.5625,97.75500745504281,2043-01-01
FIL,1172737,20535526.5625,97.78822174076205,2043-02-01
FIL,1176769,20541826.5625,97.81822174076653,2043-03-01
FIL,1181233,20548801.5625,97.85143602648576,2043-04-01
FIL,1185553,20555551.5625,97.8835788836334,2043-05-01
FIL,1190017,20562526.5625,97.91679316935264,2043-06-01
FIL,1194337,20569276.5625,97.94893602650029,2043-07-01
FIL,1198801,20576251.5625,97.98215031221953,2043-08-01
FIL,1203265,20583226.5625,98.01536459793876,2043-09-01
FIL,1207585,20589976.5625,98.0475074550864,2043-10-01
FIL,1212049,20596951.5625,98.08072174080564,2043-11-01
FIL,1216369,20603701.5625,98.11286459795329,2043-12-01
FIL,1220833,20610676.5625,98.14607888367253,2044-01-01
FIL,1225297,20617651.5625,98.17929316939176,2044-02-01
FIL,1229473,20624176.5625,98.21036459796781,2044-03-01
FIL,1233937,20631151.5625,98.24357888368705,2044-04-01
FIL,1238257,20637901.5625,98.2757217408347,2044-05-01
FIL,1242721,20644876.5625,98.30893602655394,2044-06-01
FIL,1247041,20651626.5625,98.34107888370158,2044-07-01
FIL,1251505,20658601.5625,98.37429316942081,2044-08-01
FIL,1255969,20665576.5625,98.40750745514005,2044-09-01
