coin,layer,simple,baseline,vault1,vault2,comfund,simple_pct,baseline_pct,vault1_pct,vault2_pct,comfund_pct,total_authorized,total_issued,total_authorized_pct,total_issued_pct,date
SMH,5342001,1278867.7757626069,2876649.534028758,1500000,1500000.0,218711.43735744024,99.71688924166973,96.16528781042331,100.0,100.0,97.23105177740725,5874228.747148805,5874228.747148805,97.92342752304468,97.92342752304468,2072-04-01
SMH,5344001,1278875.7450094689,2876798.249303336,1500000,1500000.0,218719.68391120026,99.71751062608628,96.17025930486933,100.0,100.0,97.2347178915589,5874393.678224005,5874393.678224005,97.92617692503153,97.92617692503153,2072-04-01
SMH,5346001,1278883.6967714808,2876945.836588558,1500000,1500000.0,218727.87017684418,99.71813064716028,96.17519309106493,100.0,100.0,97.23835720383403,5874557.403536883,5874557.403536883,97.92890622695344,97.92890622695344,2072-04-01
SMH,5348001,1278891.6310870056,2877092.881945413,1500000,1500000.0,218736.0270017063,99.71874930788297,96.18010876080359,100.0,100.0,97.24198342782164,5874720.540034125,5874720.540034125,97.93162571331524,97.93162571331524,2072-05-01
SMH,5350001,1278899.5479943214,2877239.5219571847,1500000,1500000.0,218744.16157639507,99.71936661123905,96.18501088001197,100.0,100.0,97.24559976020144,5874883.231527901,5874883.231527901,97.93433778146668,97.93433778146668,2072-05-01
SMH,5352001,1278907.4475316221,2877385.9783096793,1500000,1500000.0,218752.28557059483,99.71998256020656,96.18990685956133,100.0,100.0,97.24921138888543,5875045.711411896,5875045.711411896,97.93704632208183,97.93704632208183,2072-05-01
SMH,5354001,1278915.3297370188,2877532.26478167,1500000,1500000.0,218760.39971150993,99.72059715775715,96.19479716007079,100.0,100.0,97.25281863716188,5875207.994230199,5875207.994230199,97.93975157761074,97.93975157761074,2072-05-01
SMH,5356001,1278923.1946485378,2877678.4892733875,1500000,1500000.0,218768.5096801014,99.72121040685586,96.19968538860353,100.0,100.0,97.25642403057685,5875370.193602026,5875370.193602026,97.94245544208641,97.94245544208641,2072-05-01
SMH,5358001,1278931.042304123,2877823.73557434,1500000,1500000.0,218776.56725676125,99.72182231046123,96.20454091659512,100.0,100.0,97.26000613246819,5875531.345135225,5875531.345135225,97.94514183908603,97.94514183908603,2072-06-01
SMH,5360001,1278938.8727416347,2877969.119482806,1500000,1500000.0,218784.63116970743,99.72243287152538,96.209401044753,100.0,100.0,97.2635910512391,5875692.623394148,5875692.623394148,97.94783034860423,97.94783034860423,2072-06-01
