coin,layer,theta,simple,baseline,vault1,vault2,comfund,theta_pct,simple_pct,baseline_pct,vault1_pct,vault2_pct,comfund_pct,total_authorized,total_issued,total_authorized_pct,total_issued_pct,date
SMH,2157001,345698.58613986603,1162475.8211670397,945338.5443162965,1500000,1500000.0,110937.59818333348,16.02681622029225,90.64148374237433,36.738498716526976,100.0,100.0,54.668144654685946,3718751.9636666696,3718751.9636666696,66.90107963086602,66.90107963086602,2042-01-01
SMH,2262001,360736.46400841017,1175548.0635006032,978869.7292376128,1500000,1500000.0,113390.41014411664,15.947670403700537,91.66076295608266,38.04161430575364,100.0,100.0,55.87684829780288,3767808.2028823327,3767808.2028823327,67.7836110280184,67.7836110280184,2043-01-01
SMH,2368001,375938.64556998113,1187301.1705808036,1012209.0558454047,1500000,1500000.0,115763.69612769518,15.875780693081682,92.57718551295174,39.33727374453817,100.0,100.0,57.04636290404845,3815273.9225539034,3815273.9225539034,68.63752866557793,68.63752866557793,2044-01-01
SMH,2473001,390940.9134346108,1197669.599510205,1044568.7670575792,1500000,1500000.0,118012.54560883075,15.808360507521463,93.38564085036667,40.59486259033677,100.0,100.0,58.154557337266354,3860250.9121766146,3860250.9121766146,69.44667355980711,69.44667355980711,2045-01-01
SMH,2578001,405936.272228563,1206908.7675115052,1076385.1529922448,1500000,1500000.0,120173.3642370395,15.746164265590393,94.10604456193992,41.83133629687607,100.0,100.0,59.21937167680379,3903467.2847407893,3903467.2847407893,70.22414460668551,70.22414460668551,2046-01-01
SMH,2683001,420942.55230612645,1215141.6662406651,1107704.4748510101,1500000,1500000.0,122255.0600574566,15.68924321333188,94.74798665030319,43.0484927037831,100.0,100.0,60.24519565443804,3945101.201149132,3945101.201149132,70.97314695591265,70.97314695591265,2047-01-01
SMH,2788001,435855.5050123327,1222477.8919132652,1138321.8421408285,1500000,1500000.0,124252.61758179442,15.633262147765825,95.32001263822077,44.238369193685394,100.0,100.0,61.229557723608586,3985052.351635888,3985052.351635888,71.69187601506287,71.69187601506287,2048-01-01
SMH,2894001,450835.0496155666,1229073.8104782996,1168575.2425651571,1500000,1500000.0,126192.05542333983,15.578261708118504,95.83431481508529,45.41410091365206,100.0,100.0,62.1852794104542,4023841.1084667966,4023841.1084667966,72.38969338359966,72.38969338359966,2049-01-01
SMH,2999001,465588.35485470324,1234892.638844195,1197889.1813464176,1500000,1500000.0,128041.14843108489,15.5247815807565,96.28802510060116,46.55332252771475,100.0,100.0,63.09648071355364,4060822.9686216977,4060822.9686216977,73.0550043253601,73.0550043253601,2050-01-01
SMH,3104001,480270.03745163814,1240077.718783432,1226593.092492423,1500000,1500000.0,129824.77954083448,15.472612201208639,96.69232025277337,47.66883676241625,100.0,100.0,63.97542351667119,4096495.590816689,4096495.590816689,73.6967618185799,73.6967618185799,2051-01-01
